Entity,Code,Year,Pri_adj_Enroll_% – Lee-Lee (2016) (%)
Afghanistan,AFG,1870,0
Cambodia,KHM,1870,0
Democratic Republic of Congo,COD,1870,0
Haiti,HTI,1870,0
Kuwait,KWT,1870,0
Mali,MLI,1870,0
Nepal,NPL,1870,0
Niger,NER,1870,0
South Korea,KOR,1870,0
Swaziland,SWZ,1870,0
Taiwan,TWN,1870,0
Uganda,UGA,1870,0
Yemen,YEM,1870,0
Zambia,ZMB,1870,0
Zimbabwe,ZWE,1870,0
Benin,BEN,1870,0.1
China,CHN,1870,0.1
Iran,IRN,1870,0.1
Libya,LBY,1870,0.1
Malawi,MWI,1870,0.1
Morocco,MAR,1870,0.1
Cote d'Ivoire,CIV,1870,0.2
Fiji,FJI,1870,0.2
Iraq,IRQ,1870,0.2
Mozambique,MOZ,1870,0.2
Pakistan,PAK,1870,0.2
Senegal,SEN,1870,0.2
Sudan,SDN,1870,0.2
Tunisia,TUN,1870,0.2
Indonesia,IDN,1870,0.3
Kenya,KEN,1870,0.3
Thailand,THA,1870,0.3
Cameroon,CMR,1870,0.4
Jordan,JOR,1870,0.4
Togo,TGO,1870,0.5
Bangladesh,BGD,1870,0.6
Ghana,GHA,1870,0.6
Syria,SYR,1870,0.6
Turkey,TUR,1870,0.6
Sierra Leone,SLE,1870,0.8
Egypt,EGY,1870,1.1
Malaysia,MYS,1870,1.1
Venezuela,VEN,1870,1.2
India,IND,1870,1.5
Albania,ALB,1870,1.8
Liberia,LBR,1870,2.1
Luxembourg,LUX,1870,2.3
Peru,PER,1870,2.3
Hong Kong,HKG,1870,2.6
Lesotho,LSO,1870,2.7
Bolivia,BOL,1870,3.3
Gambia,GMB,1870,3.4
Serbia,SRB,1870,3.4
Philippines,PHL,1870,3.6
Paraguay,PRY,1870,4.2
Panama,PAN,1870,5.3
Dominican Republic,DOM,1870,5.9
Algeria,DZA,1870,6.1
Myanmar,MMR,1870,7.4
Sri Lanka,LKA,1870,7.4
Romania,ROU,1870,7.7
Brazil,BRA,1870,8.2
Cuba,CUB,1870,8.3
Finland,FIN,1870,8.7
Nicaragua,NIC,1870,9.5
Russia,RUS,1870,9.8
Guatemala,GTM,1870,11
Ecuador,ECU,1870,11.9
El Salvador,SLV,1870,12.2
Mauritius,MUS,1870,12.2
Honduras,HND,1870,13.1
Reunion,REU,1870,16.2
Chile,CHL,1870,16.9
Cyprus,CYP,1870,17
Trinidad and Tobago,TTO,1870,17
Uruguay,URY,1870,17.7
Colombia,COL,1870,17.8
Malta,MLT,1870,19
Costa Rica,CRI,1870,19.5
Argentina,ARG,1870,20.9
Belize,BLZ,1870,21.9
South Africa,ZAF,1870,23.6
Mexico,MEX,1870,25.6
Portugal,PRT,1870,26.5
Iceland,ISL,1870,29.7
Greece,GRC,1870,30.1
Ireland,IRL,1870,32.5
Jamaica,JAM,1870,32.9
Bulgaria,BGR,1870,34.2
Poland,POL,1870,38.5
Hungary,HUN,1870,39
United Kingdom,GBR,1870,39
Japan,JPN,1870,41.4
Barbados,BRB,1870,42.8
Guyana,GUY,1870,43.2
Austria,AUT,1870,46.8
Germany,DEU,1870,49.6
Italy,ITA,1870,49.7
Spain,ESP,1870,52.5
Belgium,BEL,1870,72
Czech Republic,CZE,1870,72.6
Norway,NOR,1870,74.2
Australia,AUS,1870,76.5
New Zealand,NZL,1870,79.9
Netherlands,NLD,1870,80.1
Canada,CAN,1870,81.9
Switzerland,CHE,1870,87.4
Denmark,DNK,1870,95
France,FRA,1870,100
Sweden,SWE,1870,100
United States,USA,1870,100
Afghanistan,AFG,1875,0
Cambodia,KHM,1875,0
Democratic Republic of Congo,COD,1875,0
Haiti,HTI,1875,0
Kuwait,KWT,1875,0
Mali,MLI,1875,0
Nepal,NPL,1875,0
Niger,NER,1875,0
South Korea,KOR,1875,0
Swaziland,SWZ,1875,0
Taiwan,TWN,1875,0
Uganda,UGA,1875,0
Zambia,ZMB,1875,0
Zimbabwe,ZWE,1875,0
China,CHN,1875,0.1
Iran,IRN,1875,0.1
Libya,LBY,1875,0.1
Malawi,MWI,1875,0.1
Morocco,MAR,1875,0.1
Yemen,YEM,1875,0.1
Benin,BEN,1875,0.2
Iraq,IRQ,1875,0.2
Mozambique,MOZ,1875,0.2
Pakistan,PAK,1875,0.2
Senegal,SEN,1875,0.2
Sudan,SDN,1875,0.2
Tunisia,TUN,1875,0.2
Cote d'Ivoire,CIV,1875,0.3
Fiji,FJI,1875,0.3
Kenya,KEN,1875,0.4
Indonesia,IDN,1875,0.5
Jordan,JOR,1875,0.5
Thailand,THA,1875,0.5
Cameroon,CMR,1875,0.6
Togo,TGO,1875,0.6
Bangladesh,BGD,1875,0.8
Ghana,GHA,1875,0.8
Syria,SYR,1875,0.8
Turkey,TUR,1875,0.8
Sierra Leone,SLE,1875,1
Egypt,EGY,1875,1.5
Venezuela,VEN,1875,1.5
Malaysia,MYS,1875,1.6
Albania,ALB,1875,2.3
Liberia,LBR,1875,2.6
Luxembourg,LUX,1875,2.9
India,IND,1875,3
Peru,PER,1875,3.4
Lesotho,LSO,1875,4
Bolivia,BOL,1875,4.2
Gambia,GMB,1875,4.3
Hong Kong,HKG,1875,4.8
Philippines,PHL,1875,4.8
Paraguay,PRY,1875,5.4
Serbia,SRB,1875,6.2
Panama,PAN,1875,6.6
Dominican Republic,DOM,1875,7.5
Algeria,DZA,1875,7.6
Romania,ROU,1875,8.9
Brazil,BRA,1875,9.3
Cuba,CUB,1875,10.5
Finland,FIN,1875,10.5
Russia,RUS,1875,11
Nicaragua,NIC,1875,11.8
Sri Lanka,LKA,1875,11.9
Myanmar,MMR,1875,12.5
Guatemala,GTM,1875,13.1
Ecuador,ECU,1875,14.7
El Salvador,SLV,1875,14.7
Honduras,HND,1875,16
Mauritius,MUS,1875,16.5
Chile,CHL,1875,17.1
Argentina,ARG,1875,18.6
Colombia,COL,1875,20
Cyprus,CYP,1875,20.1
Reunion,REU,1875,20.1
Uruguay,URY,1875,21.2
Malta,MLT,1875,22.4
Costa Rica,CRI,1875,23.6
Belize,BLZ,1875,26.6
Mexico,MEX,1875,27.1
South Africa,ZAF,1875,29.3
